mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
8.674242973327637,0.3383152484893799,0.296781063079834,0.06582522392272949,0.7,500,10,0.01,0.7,"{'subsample': 0.7, 'n_estimators': 500, 'max_depth': 10, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",0.9916044360432156,0.9915127068768295,0.9915585714600226,4.5864583193055974e-05,4
1.926217794418335,0.010293245315551758,0.07215249538421631,0.005013108253479004,0.7,500,3,0.01,0.7,"{'subsample': 0.7, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",0.9845790812247938,0.9837249523028505,0.9841520167638221,0.00042706446097162676,5
1.9808337688446045,0.27047228813171387,0.15452289581298828,9.894371032714844e-05,1.0,500,6,0.2,0.8,"{'subsample': 1, 'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.2, 'colsample_bytree': 0.8}",0.9926724473422758,0.9926870848863251,0.9926797661143004,7.318772024644815e-06,1
2.6938568353652954,0.02352321147918701,0.16354966163635254,0.01601576805114746,0.8,500,6,0.2,1.0,"{'subsample': 0.8, 'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.2, 'colsample_bytree': 1}",0.9919942993720061,0.9918487002102487,0.9919214997911274,7.279958087869076e-05,3
3.271926760673523,0.4001675844192505,0.12341976165771484,0.016138315200805664,0.8,200,10,0.2,1.0,"{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.2, 'colsample_bytree': 1}",0.9926500039116416,0.9925993224956056,0.9926246632036235,2.534070801801791e-05,2
