mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
394.4266902208328,3.4173845052719116,3.900174379348755,0.0003039836883544922,100,5,2,30,False,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 30, 'bootstrap': False}",0.9898956237696839,0.9895333352868725,0.9897144795282782,0.00018114424140569518,5
321.93843698501587,76.62801837921143,3.338225245475769,0.20702779293060303,100,10,4,30,False,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 30, 'bootstrap': False}",0.9905484587612077,0.9903990713355819,0.9904737650483948,7.469371281287884e-05,3
250.9965934753418,4.402628421783447,1.6010318994522095,0.09965264797210693,100,5,1,10,False,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 10, 'bootstrap': False}",0.9912129894589423,0.9904863101132526,0.9908496497860975,0.00036333967284485347,2
300.95789992809296,17.887184023857117,2.28182053565979,1.061720848083496,100,10,2,20,False,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 20, 'bootstrap': False}",0.9906113548913434,0.9901757471448823,0.9903935510181129,0.00021780387323055983,4
121.92117989063263,33.106571316719055,1.3087955713272095,0.10142385959625244,100,10,2,,True,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': True}",0.9936485719256285,0.9937244531716383,0.9936865125486334,3.794062300488399e-05,1
